abbreviata
lorossi
loxoclase
loxorhytis
lubricum
lucida
lucidum
lunata
lunula
luteostoma
luteum
luxurians
Lycopodiophyta
lycopodium
macilenta
macilentus
macounii
macra
macracantha
macrantha
macrocalyx
macrocarpa
macrocarpum
macrocephala
macrolepis
macropoda
macroptila
macrospora
macrostachys
maestrum
maestum
magniflora
magnopora
mairei
major
majus
majuscula
majusculus
Malvidae
mamillosa
manganophyllite
maquoketa
Marchantiophyta
margaritaceus
mariposite
marmairolite
masonite
matura
maxima
maximus
meandrina
medusula
meeki
megacephala
megacephalus
megarhiza
megaspora
melanocarpum
melchersi
melikaria
mellitum
membranacea
meridionale
Mesangiospermae
mesodialyte
mexicana
mexicanum
michauxii
micrantha
microcarpa
microcarpoides
microcarpum
micropetala
microphylla
millefolia
millepuntatus
miloschite
minor
minus
minutiflora
mirabilis
miser
miserabilis
mohavensis
molle
mollia
mollis
mollissima
monardifolia
monile
moniliformis
Monilophyta
monocephalum
Monocotyledoneae
monophylla
montagnei
montana
montanensis
montanus
monticola
moorensis
morganite
mucronata
mucronulata
muehlenbergii
muhlenbergii
multibrachiata
multiflora
multinervis
multiplex
multisecta
murdockii
muscorum
mutabilis
mutans
mutica
muticispicula
muticispiculus
muticus
myricoides
myriophyllus
myurellum
nacrite
naegite
nana
nanum
nardifolia
Nartheciidae
natans
neapolitana
neglecta
nelsonii
nemorosum
neofluvialis
neomexicana
Nephrite
nervata
neuiformis
nevadensis
nigra
nigrescens
nigricans
nigrum
nitida
nivalis
nobilis
nomen nudum
nordhoffiae
normalis
nortonensis
nubica
nudatum
nudicaule
nudicaulis
nuttalite
nuttallii
Nyssoids
obesa
obesus
obligua
obliquum
oblonga
oblongata
oblongatum
oblongifolia
oblongus
obovata
obscura
obsoleta
obtusa
obtusatus
obtusifolia
obtusilobata
obtusus
occidentale
occidentalis
ocellata
ocellatum
octospora
oellacherite
oligadena
oligocephalus
olivacea
oneidense
ontariolite
opertus
opposita
orangite
oraria
orcuttiana
oreganensis
oreganus
oregonensis
ornatum
Ornithodira
orthocarpum
orthophyllum
osmenti
ovalifolia
ovalifolium
ovalis
ovata
ovatum
ovulosa
pacifica
pacificum
pacificus
padifolia
pallens
pallescens
palliata
pallida
pallidum
pallidus
palmeri
paludosa
paludosus
palustre
palustriformis
paniculatus
papposa
papulosa
papyracea
paraciculata
parallela
parapavoninum
parasiticus
parishii
parisiensis
parryi
parva
parvastella
parviflora
parviflorum
parvifolia
parvifolium
parvifolius
parvistella
parvula
parvulus
passans
pastorum
patagonica
patens
paternus
pattersonii
patula
patulifolia
patulum
patulus
pauciaristata
pauciflora
pauciflorum
pauciflorus
paucispinua
pauperata
peckei
pedicellare
pedicellaris
pedunculata
pelius
pendula
pennine
pennite
pentandra
Pentapetalae
percivalite
peregrina
perfistulosus
pericline
peridot
peristerite
perlite
perlonga
perplexans
pertenuis
pertusa
petiolata
petrified wood
Petrosaviidae
phengite
phyllobotryon
pileolum
pilosa
pilosiuscula
pinastri
pinguifolia
pinifolia
pink quartz
pinnata
pinnatifida
pinnatifidum
pinnatisecta
pinnatisectus
plagiophylla
plana
plantaginea
planum
planus
platamona
platomona
plattsmouthensis
platycarpa
platyphylla
platysoma
plausus
plebeia
plebeius
pleianthum
plena
plurifera
podadenia
polifolium
pollinariella
polyadelphite
polycarpum
polycarpus
polymorphum
polyrhizum
polyspora
polytropa
porcata
porosa
porphyritis
porriginosa
porteri
potash-margarite
praealtus
praecox
praelongus
prasiolite
pratensis
precatoria
primaria
pringlei
prinstana
procera
productum
profunda
protensum
pruinosa
pseudofluitans
pterolite
pubens
puberula
puberulum
pubescens
pulcherrima
pulicaris
pumila
pumilum
punctatum
punctiformis
purpurascens
purpurea
purshii
pusilla
pycnocephala
pygmaea
pygmaeum
pygmaeus
pylaei
pyrifera
pyrum
quadrifilis
quinqueloba
quintuplinerve
racemosa
radiata
radiatus
radicans
rameum
ramigerum
ramosa
ramosissimum
ramosus
randii
rastolyte
reagens
recognita
recta
rectangulatum
rectirostra
recurrens
recurvatum
red beryl
reducta
referta
refracta
regia
regularis
renei
repens
reticulata
retroflexea
retusa
reverchonii
rhaetizite
Rhamnoids
rhodantha
rhodolite
rhombea
rhombifolia
richii
rigida
rigidia
riparia
riveti
rivularis
roanensis
robusta
roepperite
rose quartz
rosea
rosella
roseus
rosiflora
rostrata
rosulata
Rothiana
rotunda
rotundata
rotundatus
rotundifolium
rubellite
rubellum
rubens
rubescens
rubiforme
rubiginosa
rubra
rubropulchra
ruby
rudgei
rudis
rufescens
rugulosa
rumphii
rupestre
rupestris
rutila
saccharite
sagraeana
salicifolia
sanctae-margaritae
sanguinolentum
sapphire
sarmentosa
sarniensis
saxicola
scabra
scabridata
scabriusculus
scalariformis
scandens
scaposa
schaferi
schernikite
schizophylliza
schweinitzii
sciuroides
scopula
scopulinum
scotiolite
scrobiculatum
secunda
sedoides
selenite
senilis
septentrionalis
septimus
sericea
sericifolia
sericite
serpentina
serratum
serrulata
sessilis
setiglumis
setosa
setosus
siderea
siderites
sideritis
sigmoidea
sileri
siliculosus
simplex
simplicifolia
simulans
sinense
solfatarense
solida
solonis
soralifera
sorediata
sparsa
sparsiflora
sparsifolia
spathulatum
spathulifera
spatulatum
spatulifera
spectabilis
Spermatophyta
sphaerocarpus
sphaerostilbite
sphagnoides
sphagnophila
spiculiferum
spinifolium
spinigerus
spinulosum
spiralis
splendens
spongiosa
spongiosum
spuria
squamosa
squarrosa
stabilis
stansburyi
steatite
stellaris
stellulata
stenophylla
stenosepalus
stenospora
steriza
stewartii
stigmataria
stipulaceum
stokesii
straminea
striata
stricta
strictissima
strictum
strigosa
strontium-bearing aragonite
sturmii
stylosa
stylosus
subalpina
subalpine
subalpinum
subampliata
subaridum
subbiflorum
subcaesia
subcapitata
subcongesta
subdenticulata
subequilatus
subfastigiata
subglaber
subglabra
subglabrum
subglochidiatum
subgracilis
subincisa
subintegerrima
subintegrifolius
subloliacea
submarinus
subnervosa
subnodosa
subnuda
subnudus
subobtusifolia
subovatus
subpapillosa
subpiliger
subpiligera
subpiligerus
subplumosa
subquercifolia
subscaposa
subsericea
subsimplex
substoloniferum
subtilis
subulata
subulatus
subvestitus
subvirens
succinea
succulenta
suksdorfi
sulcata
sulcatum
sullivantii
surcularis
surculo-palmata
suspecta
swainii
swanii
swartziana
sweeneyi
symmicta
synchaetum
synthetic
tanacetoides
tanzanite
taraxacifolia
taraxacoides
tawmawite
tectoria
tegula
tenebrosa
tenella
tenellus
tener
tenerrima
tenue
tenuifolia
tenuifolius
tenuis
tenuisectum
tenuissimus
teres
tergestina
terrae-novae
terrestre
terrestris
tetonensis
texana
texanum
textilina
textoris
thorild-wulffii
thulite
tigris
tineolatum
tomentosum
tonsa
torta
torulosa
tourneforti
transversale
transversus
treleasii
trichophyllus
tridens
triflorum
trifolium
triplicata
tropica
troschelii
truncata
trypetheliformis
tsavorite
tuberculata
tuberculosa
tuberosa
tubulosa
turbinata
turgida
turneri
turrita
tweedyi
typica
typicum
typographica
ucranica
uliginosa
ulmifolia
uloleuca
ulorrhiza
ultramontana
umbrina
unalaskensis
uncialis
undulata
ungulatus
unicostata
uniflora
uniflorus
uniligulata
usneoidella
utahense
utahensis
utriculata
uvifera
Valerina
validum
valuevite
valvulifera
varegata
varia
variabile
variabilis
varians
variegata
variegatum
variolosa
vaseyi
vecta
velutina
venezuelensis
venosa
venosum
ventricosa
venulata
venusta
verdeanum
vermicularis
vermiculatiformis
verna
verrucosa
versicolor
vesiculifera
vestita
vestitum
vicinior
villicaulis
villosa
violacea
virella
virens
virescens
virgatus
virginiana
virginicum
viride
viridescens
viridiflava
viridior
viridis
viridulum
viscida
vitilis
vittata
vloridana
vulgare
watsonii
wernerite
willeyi
williamsii
williamsite
wilsoni
wilsonite
wrightiana
wrightii
xanthocarpa
xanthopus
xiphonite
yttrofluorite
yunnanensis
zebrina
Ziziphoids
zonalis
zopfii
