?Barremian
late Albian
Late Albian
late Albian (?)
late Aptian
Late Aptian
Late Arikareean
Late Arikareean?
Late Artinskian
Late Asselian
Late Asselian-Sakmarian
Late Barstovian
late Bartonian?
late Bathonian
Late Blancan
Late Callovian
late Campanian
Late Campanian-early Maastrichtian
late Campanian-Maastrichtian
late Carnian
Late Carnian
Late Clarkforkian
Late Cretaceous
late Desmoinesian
Late Devensian
Late Devonian
Late Ediacaran
Late Eifelian
late Emsian
Late Emsian
Late Eocene
Late Eocene?
Late Famennian
Late Frasnian
Late Givetian
Late Hemingfordian
Late Hemphillian
late Hettangian
Late Katian
Late Kimmeridgian
Late Ludlovian
late Maastrichtian
Late Middle Miocene
Late Middle Norian
Late Miocene
Late Missourian to Early Virgilian
Late Moscovian
late Neocomian
Late Norian
Late Osagean
late Oxfordian
Late Paleocene
Late Pennsylvanian
Late Permian
Late Pleistocene
Late Pliocene
late Rhaetian
late Santonian
Late Santonian
Late Senonian
Late Serpukhovian
Late Silurian
Late Tiffanian
Late Toarcian
Late Torrejonian
Late Turonian
Late Villafranchian
Late Visean
Late Wasatchian
Late Westphalian
late Westphalian A
latest Albian
Latest Aptian
Latest Clarkforkian
latest Maestrichtian
Latest Tremadocian
Leonardian
Leonardian to Guadalupian
Lias
Llandeilian
Llandoveran
Llandoverian
Llanvirien
Llanvirnian
Lochkovian
Longvillian
Lorraine
Lorraine?
Lostcabinian
Lothagamian
Lower Albian
lower Aptian-upper Cenomanian
Lower Campanian
lower Clarkforkian
lower Comanchean
Lower Downtonian
Lower Greensand
Lower Lias
Lower Norian
lower Paleocene
Lower Purbeckian
Lower Santonian
Lower Tithonian
Lower Toarcian
Lower Zechstein
Ludian
Ludian?
Ludlovian
Lujanian
Lutetian
Lysitean
Lysitean?
Maastrichtian
Maastrichtian?
Maestrichtian
Malm
Marjuman
Marshbrookian
Matapedia Series
Maysvillian
Medinian
Meishucunian
Menevian
Meramecian
Mesoproterozoic
Mesozoic
Mid Cenomanian
middle Albian
Middle Asselian
Middle Bashkirian
Middle Bashkirian  to Late Bashkirian
middle Bathonian
middle Campanian
Middle Campanian
middle Carnian
Middle Chesterian
Middle Cretaceous
Middle Devonian
Middle Eocene
Middle Irvingtonian
middle late Carnian
Middle Lias
Middle Miocene
middle Norian
Middle Oolite
Middle Proterozoic
Middle Santonian
Middle Serpukhovian
Middle Tiffanian
Middle Tournaisian
Middle Turonian
Middle Wasatchian
Middle Westphalian A
middle Wutu Fm
Miocene
Mississippian
Missourian
Missourian to Virgilian
Mohawkian
Mohnian
Molodian
Montehermosan
Montezuman
Morrowan
Moscovian
Muschelkalk
Mustersan
Namurian
Namurian A
Namurian B
Namurian B?
Neocomian
New Scotland Ls
Niagaran
Niushan Fm
Norian
Oamurian
Ochoan
Oligocene
Oligocene(?)
Onondagan
Orellan
Orellan?
Oriskanian
Oriskanyan
Orleanian
Orleanian?
Osagean
Oxfordian
Ozarkian
Paleocene
Patagonian
Pennsylvanian
Permian
Piacenzian
Pleistocene
Pleistocene?
Pliensbachian
Pliocene
Pontian
Porkuni
Portlandian
Praghian
Priabonian
Proterozoic
Puercan
Puercan?
Qiongzhusian
Rancholabrean
Recent
Rhaetian
Rhaetic
Rhaeto-Liassic
Richmondian
Riochican
Roadian to Wordian
Robiacian
Rognacian
Rupelian
Rusingan
Sakmarian
Santacrucian
Santonian
Santonian to Lower Campanian
Santonian-Campanian
Santonian-Early Campanian
Sarmatian
Saucesian
Scythian
Scythian?
Sellersburg Ls
Senonian
Serpukhovian
Serpukhovian?
Serravallian
Siegenian
Siegenien
Sinemurian
Skala
Soissonian
Sparnacian
Stephanian
Sythian
Tejonian
Ternanian
Tertiary
Thanetian
Tiffanian
Tiffanian?
Tithonian
Toarcian
Tommotian
Tongrian
Torrejonian
Tortonian
Tournaisian
Tournasian
Toyonian
Tremadocian
Trempealeauan
Trenton Ls
Trentonian
Triassic
Turolian
Turonian
Tyrrhenian
Uintan
Upper Albian
upper Aptian-early Albian?
Upper Carnian
Upper Downtonian
Upper Emsian
Upper Frasnian
Upper Greensand
Upper Harrison Fm
upper Keuper
upper Keuper?
Upper Kimmeridgian
Upper Planer
Upper Plauen
Upper Siegenian
Upper Silurian
Uppermost Emsian?
uppermost Westphalian D
Urgonian
Valanginian
Vallesian
Vendian
Villafranchian
Virgilian
Virgilian?
Virgillian
Visean
Vracconian
Walchow
Wasatchian
Wasatchian?
Waucoban
Wealdian
Wenlockian
Westphalian
Westphalian A
Westphalian A?
Westphalian B
Westphalian C
Westphalian C?
Westphalian D
Westphalian lower D
Whitbian
White Jura
Whitneyan
Wisconsinan
Wolfcampian
Wolfcampian?
Wordian
Wordian to Capitanian
Yeovilian
Ypresian
Zechstein
Zemorrian
